temp,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
33.2,18.2,42.8,0.0,0,0.0,37.9,23.1,180.1,1013.1,22.8,16.0,236.1,20.4,10
33.4,18.6,43.1,0.0,0,0.0,41.6,26.1,182.6,1010.5,19.4,16.0,230.7,20.0,10
32.7,19.0,46.5,0.0,0,0.0,42.8,21.7,172.3,1011.7,27.4,16.0,249.8,21.6,10
33.1,18.0,42.5,0.0,0,0.0,50.7,29.4,153.1,1013.1,24.0,16.0,249.1,21.7,10
30.5,19.9,55.0,0.0,0,0.0,40.7,23.4,149.2,1015.3,20.5,16.0,209.0,17.9,10
31.6,19.1,50.1,0.0,0,0.0,39.6,21.9,171.0,1016.6,21.5,16.0,249.1,21.5,10
32.8,18.7,45.3,0.0,0,0.0,34.7,18.4,170.7,1015.7,29.3,16.0,269.0,23.4,10
30.2,20.3,57.0,3.95,100,16.67,68.4,30.5,161.1,1015.4,49.2,15.7,159.0,13.8,10
28.4,21.5,68.6,2.779,100,16.67,50.7,20.2,147.4,1016.5,43.4,15.4,138.3,11.9,10
29.4,20.4,63.1,0.0,0,0.0,30.3,17.0,71.3,1015.6,32.1,15.7,241.3,20.7,10
30.5,20.5,56.9,0.0,0,0.0,29.5,17.2,83.3,1015.5,37.9,16.0,242.6,20.9,10
31.3,19.4,51.8,0.0,0,0.0,36.7,15.0,97.5,1015.2,18.7,16.0,267.9,23.1,10
31.1,19.0,49.3,0.0,0,0.0,32.3,18.3,131.1,1013.4,24.7,16.0,210.7,18.1,10
31.8,18.1,46.0,0.0,0,0.0,31.7,18.6,184.8,1012.6,44.6,16.0,283.9,24.5,10
32.8,18.0,43.3,0.0,0,0.0,31.7,15.8,192.4,1012.0,52.4,16.0,250.5,21.6,10
32.7,18.5,45.4,8.936,100,8.33,76.0,30.8,281.2,1012.5,40.7,15.5,314.6,27.2,10
26.2,21.7,77.2,3.576,100,8.33,29.5,15.1,53.7,1013.8,62.0,15.9,153.4,13.4,10
27.6,20.4,68.3,0.0,0,0.0,40.7,16.5,95.2,1012.7,72.0,14.7,266.1,23.0,10
28.1,21.2,68.3,0.0,0,0.0,46.4,21.3,174.5,1014.4,64.2,16.0,183.6,15.8,7
26.6,22.7,79.9,14.858,100,25.0,35.3,18.0,142.0,1014.6,74.4,14.7,111.2,9.7,6
23.7,22.6,94.0,179.173,100,75.0,40.7,18.2,33.8,1012.1,96.8,10.2,27.8,2.4,3
24.8,22.3,86.2,4.781,100,54.17,55.4,17.3,2.9,1011.1,92.3,13.4,106.2,9.1,5
26.8,20.8,71.7,0.0,0,0.0,34.1,18.3,63.2,1013.3,70.9,16.0,200.5,17.4,10
27.8,20.2,65.4,0.0,0,0.0,29.1,13.1,46.3,1015.1,40.5,16.0,203.4,17.5,10
